feature,LDA,pvalue
Bacteria,5.9999683556692425,-
Bacteria.Acidobacteriota,5.2355020040774125,2.8972617995819644e-12
Bacteria.Actinobacteriota,4.688155718170999,-
Bacteria.Bacteroidota,5.018504584327471,-
Bacteria.Chloroflexi,4.896669478036141,6.484170447491883e-11
Bacteria.Desulfobacterota,4.798644699843301,3.576532780361069e-05
Bacteria.Firmicutes,4.325646764409168,-
Bacteria.Gemmatimonadota,4.838169131940379,4.319650713615793e-12
Bacteria.Latescibacterota,4.030902053323469,1.0107918726719422e-12
Bacteria.MBNT15,4.037841336525898,-
Bacteria.Methylomirabilota,4.064038676053049,2.4943021295456124e-07
Bacteria.Myxococcota,4.69153456715695,1.9154795705924228e-11
Bacteria.NB1_j,4.105300083031072,-
Bacteria.Nitrospirota,4.507626900090054,6.701141583819743e-13
Bacteria.Patescibacteria,4.135467465576971,-
Bacteria.Proteobacteria,5.586271770609409,-
Bacteria.Acidobacteriota.Acidobacteriae,4.729469427189154,-
Bacteria.Acidobacteriota.Blastocatellia,4.241755332213948,3.176358304006556e-13
Bacteria.Acidobacteriota.Subgroup21,4.036043028964377,2.920281239036104e-13
Bacteria.Acidobacteriota.Subgroup22,4.002282482205941,8.748627763660348e-11
Bacteria.Acidobacteriota.Thermoanaerobaculia,4.105480836889873,1.790173259733721e-08
Bacteria.Acidobacteriota.Vicinamibacteria,4.782165746519748,3.4529542236311955e-13
Bacteria.Actinobacteriota.Acidimicrobiia,4.532544179208473,5.683578052537506e-13
Bacteria.Actinobacteriota.Actinobacteria,4.002430060460193,-
Bacteria.Bacteroidota.Bacteroidia,4.835115181786616,-
Bacteria.Bacteroidota.Rhodothermia,4.622320247196647,2.91646434295922e-13
Bacteria.Chloroflexi.Anaerolineae,4.623661836781773,2.007317366205219e-06
Bacteria.Chloroflexi.Dehalococcoidia,4.446146071025303,3.753168028504207e-13
Bacteria.Desulfobacterota.Desulfuromonadia,4.680879677501398,9.627860068715162e-07
Bacteria.Desulfobacterota.unknown,4.107384293335563,1.9154795705924228e-11
Bacteria.Firmicutes.Bacilli,4.252512545601802,5.97024219687178e-06
Bacteria.Gemmatimonadota.AKAU4049,4.0399128991413376,2.920281239036104e-13
Bacteria.Gemmatimonadota.BD2_11terrestrialgroup,4.435364281235562,2.921554566269565e-13
Bacteria.Gemmatimonadota.Gemmatimonadetes,4.334121871646021,1.1788622408762542e-10
Bacteria.MBNT15.unknown,4.037841336525898,-
Bacteria.Methylomirabilota.Methylomirabilia,4.064038676053049,2.4943021295456124e-07
Bacteria.Myxococcota.Polyangia,4.169166448075151,-
Bacteria.Myxococcota.bacteriap25,4.407512233120268,-
Bacteria.NB1_j.unknown,4.105300083031072,-
Bacteria.Nitrospirota.Nitrospiria,4.465943535698546,8.580100367177478e-13
Bacteria.Proteobacteria.Alphaproteobacteria,5.023631462094342,-
Bacteria.Proteobacteria.Gammaproteobacteria,5.446998230925842,-
Bacteria.Acidobacteriota.Acidobacteriae.Bryobacterales,4.066710965753877,7.903628278545565e-13
Bacteria.Acidobacteriota.Acidobacteriae.PAUC26f,4.118822977840552,1.2026045516953384e-11
Bacteria.Acidobacteriota.Acidobacteriae.Subgroup2,4.2083204036338016,-
Bacteria.Acidobacteriota.Subgroup21.unknown,4.036043028964377,2.920281239036104e-13
Bacteria.Acidobacteriota.Subgroup22.unknown,4.002282482205941,8.748627763660348e-11
Bacteria.Acidobacteriota.Thermoanaerobaculia.Thermoanaerobaculales,4.105480836889873,1.790173259733721e-08
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales,4.707834788020547,2.921554566269565e-13
Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales,4.489344702001255,3.4529542236311955e-13
Bacteria.Bacteroidota.Bacteroidia.Chitinophagales,4.308703702174001,2.739550529387705e-09
Bacteria.Bacteroidota.Bacteroidia.Cytophagales,4.37484555764006,-
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales,4.117329298160875,-
Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales,4.120091113499754,3.4529542236311955e-13
Bacteria.Bacteroidota.Rhodothermia.Balneolales,4.434518781148618,2.386113296488808e-13
Bacteria.Bacteroidota.Rhodothermia.Rhodothermales,4.165216281190464,2.873528148324705e-13
Bacteria.Chloroflexi.Anaerolineae.SBR1031,4.470684830279795,2.4776690398120574e-08
Bacteria.Chloroflexi.Dehalococcoidia.S085,4.345473374300791,5.683578052537506e-13
Bacteria.Desulfobacterota.Desulfuromonadia.Desulfuromonadales,4.430232758073277,-
Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales,4.358522820470717,2.91646434295922e-13
Bacteria.Desulfobacterota.unknown.unknown,4.107384293335563,1.9154795705924228e-11
Bacteria.Firmicutes.Bacilli.Bacillales,4.154301368185869,6.426721816627742e-07
Bacteria.Gemmatimonadota.AKAU4049.unknown,4.0399128991413376,2.920281239036104e-13
Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown,4.435364281235562,2.921554566269565e-13
Bacteria.Gemmatimonadota.Gemmatimonadetes.Gemmatimonadales,4.334121871646021,1.1788622408762542e-10
Bacteria.MBNT15.unknown.unknown,4.037841336525898,-
Bacteria.Myxococcota.bacteriap25.unknown,4.407512233120268,-
Bacteria.NB1_j.unknown.unknown,4.105300083031072,-
Bacteria.Nitrospirota.Nitrospiria.Nitrospirales,4.465943535698546,8.580100367177478e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales,4.171365599269548,2.921554566269565e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales,4.4612304073394045,4.797396331168124e-07
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales,4.177236600198798,2.920281239036104e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales,4.1986975520304295,5.415760998481323e-09
Bacteria.Proteobacteria.Alphaproteobacteria.Tistrellales,4.134251494791191,4.0789750678932396e-13
Bacteria.Proteobacteria.Alphaproteobacteria.unknown,4.349680005199119,3.17497811843392e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales,5.159768904842169,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales,4.576633717783335,3.036202013417487e-11
Bacteria.Proteobacteria.Gammaproteobacteria.GammaproteobacteriaIncertaeSedis,4.035747604761778,2.1758658271068913e-08
Bacteria.Proteobacteria.Gammaproteobacteria.Nitrosococcales,4.145168757551033,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.PLTA13,4.171310319492939,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales,4.796279756266231,2.934398584747781e-09
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales,4.28963847397523,-
Bacteria.Proteobacteria.Gammaproteobacteria.unknown,4.5839134889895785,2.921554566269565e-13
Bacteria.Acidobacteriota.Acidobacteriae.Bryobacterales.Bryobacteraceae,4.066710965753877,7.903628278545565e-13
Bacteria.Acidobacteriota.Acidobacteriae.PAUC26f.unknown,4.118822977840552,1.2026045516953384e-11
Bacteria.Acidobacteriota.Acidobacteriae.Subgroup2.unknown,4.2083204036338016,-
Bacteria.Acidobacteriota.Subgroup21.unknown.unknown,4.036043028964377,2.920281239036104e-13
Bacteria.Acidobacteriota.Subgroup22.unknown.unknown,4.002282482205941,8.748627763660348e-11
Bacteria.Acidobacteriota.Thermoanaerobaculia.Thermoanaerobaculales.Thermoanaerobaculaceae,4.105480836889873,1.790173259733721e-08
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae,4.440582014219816,3.17497811843392e-13
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.unknown,4.370177313499427,2.921554566269565e-13
Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown,4.489344702001255,3.4529542236311955e-13
Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae,4.064853000870328,9.23582301082052e-13
Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cyclobacteriaceae,4.260823716209072,2.7675262184149646e-13
Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Microscillaceae,4.336363546872275,1.0968955088865e-12
Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae,4.434518781148618,2.386113296488808e-13
Bacteria.Bacteroidota.Rhodothermia.Rhodothermales.Rhodothermaceae,4.165216281190464,2.873528148324705e-13
Bacteria.Chloroflexi.Anaerolineae.SBR1031.A4b,4.277276766184159,1.570581693383603e-08
Bacteria.Chloroflexi.Anaerolineae.SBR1031.unknown,4.026252852415146,-
Bacteria.Chloroflexi.Dehalococcoidia.S085.unknown,4.345473374300791,5.683578052537506e-13
Bacteria.Desulfobacterota.Desulfuromonadia.Desulfuromonadales.Desulfuromonadaceae,4.329184226255556,-
Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae,4.358522820470717,2.91646434295922e-13
Bacteria.Desulfobacterota.unknown.unknown.unknown,4.107384293335563,1.9154795705924228e-11
Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae,4.146845229453013,6.063163651658757e-07
Bacteria.Gemmatimonadota.AKAU4049.unknown.unknown,4.0399128991413376,2.920281239036104e-13
Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown,4.435364281235562,2.921554566269565e-13
Bacteria.Gemmatimonadota.Gemmatimonadetes.Gemmatimonadales.Gemmatimonadaceae,4.334121871646021,1.1788622408762542e-10
Bacteria.MBNT15.unknown.unknown.unknown,4.037841336525898,-
Bacteria.Myxococcota.bacteriap25.unknown.unknown,4.407512233120268,-
Bacteria.NB1_j.unknown.unknown.unknown,4.105300083031072,-
Bacteria.Nitrospirota.Nitrospiria.Nitrospirales.Nitrospiraceae,4.465943535698546,8.580100367177478e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales.Kiloniellaceae,4.160505201690509,2.920281239036104e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae,4.177236600198798,2.920281239036104e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae,4.1986975520304295,5.415760998481323e-09
Bacteria.Proteobacteria.Alphaproteobacteria.Tistrellales.Geminicoccaceae,4.134213412961005,4.0789750678932396e-13
Bacteria.Proteobacteria.Alphaproteobacteria.unknown.unknown,4.349680005199119,3.17497811843392e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae,4.132017635652269,3.681751990692069e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae,4.645658294145075,3.4529542236311955e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Rhodocyclaceae,4.079049530295432,8.580100367177478e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.TRA3_20,4.535390830186414,9.895786759750225e-09
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Idiomarinaceae,4.108940678428746,1.1536363110532861e-08
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Kangiellaceae,4.268219029272122,2.7699496470028963e-13
Bacteria.Proteobacteria.Gammaproteobacteria.GammaproteobacteriaIncertaeSedis.UnknownFamily,4.035747604761778,2.1758658271068913e-08
Bacteria.Proteobacteria.Gammaproteobacteria.PLTA13.unknown,4.171310319492939,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae1,4.071983183303328,5.581651467590904e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae,4.393418218772387,3.70531559044631e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Steroidobacteraceae,4.018102678266149,1.2912489076399152e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Woeseiaceae,4.18930309891634,1.6476738884853805e-12
Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown,4.5839134889895785,2.921554566269565e-13
Bacteria.Acidobacteriota.Acidobacteriae.Bryobacterales.Bryobacteraceae.Bryobacter,4.066710965753877,7.903628278545565e-13
Bacteria.Acidobacteriota.Acidobacteriae.PAUC26f.unknown.unknown,4.118822977840552,1.2026045516953384e-11
Bacteria.Acidobacteriota.Acidobacteriae.Subgroup2.unknown.unknown,4.2083204036338016,-
Bacteria.Acidobacteriota.Subgroup21.unknown.unknown.unknown,4.036043028964377,2.920281239036104e-13
Bacteria.Acidobacteriota.Subgroup22.unknown.unknown.unknown,4.002282482205941,8.748627763660348e-11
Bacteria.Acidobacteriota.Thermoanaerobaculia.Thermoanaerobaculales.Thermoanaerobaculaceae.Subgroup10,4.103908181926754,1.790173259733721e-08
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae.unknown,4.428825208909281,3.176358304006556e-13
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.unknown.unknown,4.370177313499427,2.921554566269565e-13
Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown.unknown,4.489344702001255,3.4529542236311955e-13
Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cyclobacteriaceae.unknown,4.085160692612299,2.772375042684829e-13
Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae.unknown,4.3073093938279765,2.352861728876516e-13
Bacteria.Bacteroidota.Rhodothermia.Rhodothermales.Rhodothermaceae.unknown,4.161473643040377,2.8473022210749694e-13
Bacteria.Chloroflexi.Anaerolineae.SBR1031.A4b.unknown,4.2769874281288285,1.570581693383603e-08
Bacteria.Chloroflexi.Anaerolineae.SBR1031.unknown.unknown,4.026252852415146,-
Bacteria.Chloroflexi.Dehalococcoidia.S085.unknown.unknown,4.345473374300791,5.683578052537506e-13
Bacteria.Desulfobacterota.Desulfuromonadia.Desulfuromonadales.Desulfuromonadaceae.unknown,4.321754291634777,-
Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae.unknown,4.259327705037166,2.91646434295922e-13
Bacteria.Desulfobacterota.unknown.unknown.unknown.unknown,4.107384293335563,1.9154795705924228e-11
Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus,4.068830837597163,6.426721816627742e-07
Bacteria.Gemmatimonadota.AKAU4049.unknown.unknown.unknown,4.0399128991413376,2.920281239036104e-13
Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown.unknown,4.435364281235562,2.921554566269565e-13
Bacteria.Gemmatimonadota.Gemmatimonadetes.Gemmatimonadales.Gemmatimonadaceae.unknown,4.322791083907795,1.58479540820641e-10
Bacteria.MBNT15.unknown.unknown.unknown.unknown,4.037841336525898,-
Bacteria.Myxococcota.bacteriap25.unknown.unknown.unknown,4.407512233120268,-
Bacteria.NB1_j.unknown.unknown.unknown.unknown,4.105300083031072,-
Bacteria.Nitrospirota.Nitrospiria.Nitrospirales.Nitrospiraceae.Nitrospira,4.465943535698546,8.580100367177478e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingomonas,4.102059053756911,1.405153547980126e-11
Bacteria.Proteobacteria.Alphaproteobacteria.Tistrellales.Geminicoccaceae.unknown,4.130597295243733,3.176358304006556e-13
Bacteria.Proteobacteria.Alphaproteobacteria.unknown.unknown.unknown,4.349680005199119,3.17497811843392e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.MND1,4.411257643014453,3.4529542236311955e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.TRA3_20.unknown,4.535390830186414,9.895786759750225e-09
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Idiomarinaceae.Idiomarina,4.108162712829111,-
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Kangiellaceae.Kangiella,4.251043073766129,4.570585353936682e-13
Bacteria.Proteobacteria.Gammaproteobacteria.GammaproteobacteriaIncertaeSedis.UnknownFamily.unknown,4.011663221631741,2.920281239036104e-13
Bacteria.Proteobacteria.Gammaproteobacteria.PLTA13.unknown.unknown,4.171310319492939,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae1.Alcanivorax,4.071983183303328,5.581651467590904e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae.Marinobacter,4.393418218772387,3.70531559044631e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Woeseiaceae.Woeseia,4.14546400279345,2.6738272720611797e-12
Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown.unknown,4.5839134889895785,2.921554566269565e-13
Bacteria.Acidobacteriota.Acidobacteriae.Bryobacterales.Bryobacteraceae.Bryobacter.unknown,4.066710965753877,7.903628278545565e-13
Bacteria.Acidobacteriota.Acidobacteriae.PAUC26f.unknown.unknown.unknown,4.118822977840552,1.2026045516953384e-11
Bacteria.Acidobacteriota.Acidobacteriae.Subgroup2.unknown.unknown.unknown,4.2083204036338016,-
Bacteria.Acidobacteriota.Subgroup21.unknown.unknown.unknown.unknown,4.036043028964377,2.920281239036104e-13
Bacteria.Acidobacteriota.Subgroup22.unknown.unknown.unknown.unknown,4.002282482205941,8.748627763660348e-11
Bacteria.Acidobacteriota.Thermoanaerobaculia.Thermoanaerobaculales.Thermoanaerobaculaceae.Subgroup10.unknown,4.103908181926754,1.790173259733721e-08
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae.unknown.unknown,4.428825208909281,3.176358304006556e-13
Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.unknown.unknown.unknown,4.370177313499427,2.921554566269565e-13
Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown.unknown.unknown,4.489344702001255,3.4529542236311955e-13
Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cyclobacteriaceae.unknown.unknown,4.085160692612299,2.772375042684829e-13
Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae.unknown.unknown,4.3073093938279765,2.352861728876516e-13
Bacteria.Bacteroidota.Rhodothermia.Rhodothermales.Rhodothermaceae.unknown.unknown,4.161473643040377,2.8473022210749694e-13
Bacteria.Chloroflexi.Anaerolineae.SBR1031.A4b.unknown.unknown,4.2769874281288285,1.570581693383603e-08
Bacteria.Chloroflexi.Anaerolineae.SBR1031.unknown.unknown.unknown,4.026252852415146,-
Bacteria.Chloroflexi.Dehalococcoidia.S085.unknown.unknown.unknown,4.345473374300791,5.683578052537506e-13
Bacteria.Desulfobacterota.Desulfuromonadia.Desulfuromonadales.Desulfuromonadaceae.unknown.unknown,4.321754291634777,-
Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae.unknown.unknown,4.259327705037166,2.91646434295922e-13
Bacteria.Desulfobacterota.unknown.unknown.unknown.unknown.unknown,4.107384293335563,1.9154795705924228e-11
Bacteria.Gemmatimonadota.AKAU4049.unknown.unknown.unknown.unknown,4.0399128991413376,2.920281239036104e-13
Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown.unknown.unknown,4.435364281235562,2.921554566269565e-13
Bacteria.Gemmatimonadota.Gemmatimonadetes.Gemmatimonadales.Gemmatimonadaceae.unknown.unknown,4.322791083907795,1.58479540820641e-10
Bacteria.MBNT15.unknown.unknown.unknown.unknown.unknown,4.037841336525898,-
Bacteria.Myxococcota.bacteriap25.unknown.unknown.unknown.unknown,4.407512233120268,-
Bacteria.NB1_j.unknown.unknown.unknown.unknown.unknown,4.105300083031072,-
Bacteria.Nitrospirota.Nitrospiria.Nitrospirales.Nitrospiraceae.Nitrospira.unknown,4.458172674108878,4.43251232095137e-13
Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingomonas.unknown,4.057558340888581,1.1123497046605456e-11
Bacteria.Proteobacteria.Alphaproteobacteria.Tistrellales.Geminicoccaceae.unknown.unknown,4.130597295243733,3.176358304006556e-13
Bacteria.Proteobacteria.Alphaproteobacteria.unknown.unknown.unknown.unknown,4.349680005199119,3.17497811843392e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.MND1.unknown,4.411257643014453,3.4529542236311955e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.TRA3_20.unknown.unknown,4.535390830186414,9.895786759750225e-09
Bacteria.Proteobacteria.Gammaproteobacteria.GammaproteobacteriaIncertaeSedis.UnknownFamily.unknown.unknown,4.011663221631741,2.920281239036104e-13
Bacteria.Proteobacteria.Gammaproteobacteria.PLTA13.unknown.unknown.unknown,4.171310319492939,2.921554566269565e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Alcanivoracaceae1.Alcanivorax.unknown,4.068921410580247,5.581651467590904e-13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae.Marinobacter.unknown,4.229037295058369,2.2912575817129995e-12
Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Woeseiaceae.Woeseia.unknown,4.145449331308758,2.6738272720611797e-12
Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown.unknown.unknown,4.5839134889895785,2.921554566269565e-13
